Community	CRank	Conductance	Modularity	Random
1	0.800027	0.627144	0.023090	0.000078
2	0.800027	0.550741	0.029290	0.315378
3	0.800027	0.549649	0.023468	0.556053
4	0.800027	0.558527	0.019424	0.586501
5	0.800027	0.528341	0.024313	0.327672
6	0.800027	0.511512	0.027059	0.189592
7	0.800027	0.532428	0.021987	0.470446
8	0.800027	0.540092	0.020207	0.788647
9	0.800027	0.516515	0.023290	0.792964
10	0.800027	0.528266	0.018497	0.346929
11	0.800027	0.471797	0.015787	0.835021
12	0.800027	0.528402	0.018040	0.194164
13	0.800027	0.514439	0.012061	0.309653
14	0.800027	0.531024	0.013067	0.345721
15	0.551572	0.484029	0.028684	0.534616
16	0.800027	0.528822	0.015196	0.297002
17	0.800027	0.522599	0.022042	0.711494
18	0.800027	0.497045	0.023013	0.076982
19	0.800027	0.476462	0.030909	0.834157
20	0.800027	0.502800	0.016464	0.668422
21	0.800027	0.507269	0.016547	0.174860
22	0.800027	0.501635	0.017580	0.867727
23	0.551572	0.496343	0.018578	0.889766
24	0.551572	0.475880	0.031184	0.304365
25	0.800027	0.466099	0.033808	0.461669
26	0.800027	0.486060	0.017367	0.269288
27	0.551572	0.471527	0.025367	0.919649
28	0.800027	0.473979	0.025448	0.539190
29	0.800027	0.480459	0.019403	0.159994
30	0.551572	0.450981	0.025777	0.011906
31	0.551572	0.496886	0.014122	0.103208
32	0.551572	0.489746	0.012762	0.621980
33	0.551572	0.490363	0.006607	0.624530
34	0.303117	0.434736	0.035656	0.474645
35	0.551572	0.476013	0.012022	0.360819
36	0.303117	0.486601	0.008554	0.282342
37	0.303117	0.486956	0.010464	0.326386
38	0.303117	0.499219	0.002719	0.564105
39	0.303117	0.553368	0.025852	0.910374
40	0.551572	0.483207	0.009656	0.653387
41	0.303117	0.481753	0.019042	0.470389
42	0.303117	0.523099	0.001056	0.825503
43	0.303117	0.494233	0.014802	0.226604
44	0.303117	0.544625	0.001717	0.533558
45	0.303117	0.529760	0.005523	0.515186
46	0.303117	0.476761	0.029606	0.726859
47	0.303117	0.535085	0.007525	0.316347
48	0.303117	0.549588	0.001476	0.847071
49	0.303117	0.580180	0.006423	0.727100
50	0.303117	0.546502	0.004218	0.364114
51	0.303117	0.552385	0.003771	0.664948
52	0.303117	0.550329	0.006470	0.777318
53	0.303117	0.578427	-0.001126	0.377744
54	0.303117	0.548363	0.015524	0.749068
55	0.158630	0.571398	0.001706	0.592650
56	0.303117	0.583570	0.002077	0.665072
57	0.303117	0.552431	0.009754	0.865174
58	0.303117	0.593249	0.002208	0.976563
59	0.158630	0.603309	-0.001271	0.092081
60	0.158630	0.628786	-0.003761	0.605643
61	0.303117	0.596868	0.006141	0.046531
62	0.503090	0.614480	-0.002036	0.045229
63	0.358603	0.595266	0.008544	0.162920
64	0.214117	0.618032	0.005115	0.190329
65	0.214117	0.646487	-0.003393	0.866421
66	0.214117	0.619199	0.007297	0.939767
67	0.358603	0.648827	-0.002360	0.661445
68	0.014143	0.670873	-0.003591	0.907329
69	0.214117	0.650786	0.003678	0.477642
70	0.214117	0.672193	-0.006597	0.737491
71	0.014143	0.697589	-0.004117	0.007071
72	0.214117	0.700199	-0.008428	0.841421
73	0.014143	0.710569	-0.003842	0.770818
74	0.214117	0.713143	-0.007849	0.138174
75	0.214117	0.706294	0.000029	0.297474
76	0.214117	0.669686	0.015676	0.644458
77	0.214117	0.733869	-0.007392	0.409800
78	0.214117	0.739722	-0.006868	0.500840
79	0.214117	0.753957	-0.010886	0.615143
80	0.214117	0.753333	-0.012732	0.702045
81	0.214117	0.783824	-0.010230	0.278173
82	0.214117	0.783861	-0.003024	0.253654
83	0.214117	0.782808	-0.009714	0.158677
84	0.214117	0.787584	-0.004763	0.884553
85	0.214117	0.789670	-0.012569	0.682471
86	0.214117	0.812870	-0.009929	0.295434
87	0.214117	0.802112	-0.009618	0.362245
88	0.214117	0.868356	-0.006721	0.254120
89	0.014143	0.877378	0.001964	0.994579
90	0.214117	0.887349	-0.000800	0.885722
91	0.214117	0.884184	-0.001608	0.331949
92	0.214117	0.899351	-0.004434	0.063218
93	0.214117	0.913600	0.000834	0.510152
94	0.214117	0.934830	-0.001723	0.132737
95	0.358603	0.957038	0.000217	0.911136
96	1.000000	0.855670	0.000042	0.459816
97	1.000000	0.523810	0.000030	0.120808
