#
# hold-out likelihood (Tue Jan  4 03:23:20 2022)
#
# communities	likelihood
100	-1.36878e+06
111	-1.38445e+06
123	-1.42706e+06
137	-1.44971e+06
152	-1.45949e+06
169	-1.50405e+06
188	-1.44463e+06
209	-1.49841e+06
233	-1.58084e+06
260	-1.62101e+06
300	-1.60783e+06
