4914	8813	83548	10726	51400	9928	87	57470	23019	9738	8533	5709	60561	5034	10456	55763	117246	9871	5898	3843	55690	9135	3703	3716	51605	6749	221927	54606	10844	54927	3092	1973	9361	60488	54623	50628	8340	9747	5162	5965	488	55740	5094	6596	51726	64175	6400	3688	2631	6888	3416	79677	81887	1808	5160	22920	6643	1975	11218	5567	2976	26173	9968	10657	4361	204	23394	55627	4140	23063	22803	6897	10730	57617	1660	3959	9559	10607	2629	5431	7358	8520	5834	22984	9894	11316	5537	51479	84172	57673	56886	22820	10426	54512	8379	8087	1659	9147	3636	10539	23511	22994	8660	124540	8936	10787	396	9343	221937	5562	50804	9588	5393	8567	8370	5216	140890	53371	10845	10755	10994	9785	10523	5230	347733	23162	1152	4676	490	10640	4733	8887	3839	2017	644	91039	79598	23367	6272	10487	55201	54931	8318	55299	9101	8021	6240	6624	23244	3939	8125	9373	1738	10381	7936	56897	9328	25959	375056	10213	9416	51692	6293	1000	83858	5795	57534	8402	65080	26058	85021	2962	54919	8500	23271	3183	5610	8836	51081	9689	23646	55198	7812	10613	2963	1968	5378	51429	5910	439	64207	22894	5291	56896	10314	54969	2975	64434	5496	10212	6238	1676	10526	149986	55671	4839	10427	80153	5243	4796	149371	9100	123169	6433	7064	1105	23637	5589	84295	3897	92140	23505	114790	55669	10565	1781	51742	5447	27042	57003	8914	8546	23354	219699	2072	30844	4650	23473	23041	9826	55031	126298	8729	9989	9578	80232	37	55083	9524	7296	84717	984	950	27	23215	5831	5289	3757	23078	11169	64780	476	80230	140775	55720	5706	4145	57551	8874	11160	51319	51747	55920	1523	6510	535	7385	6499	5781	10672	55072	26999	79699	6133	3646	8260	23530	103	5479	7150	10163	7204	6654	60626	51495	10054	27250	57326	55291	55692	28976	9779	8518	26057	10165	5631	64848	55661	5985	55823	91	26092	25865	29109	9675	5048	56474	9276	3912	23080	23376	2193	57142	8880	1857	55764	23191	57703	11273	9295	3930	1737	2802	55210	4001	25930	2332	10025	1479	25962	3295	4898	9868	1981	23071	64786	23193	79585	8985	9368	27342	8853	6767	5979	7156	8766	107986084	90293	5707	23020	57122	25	5933	7112	7175	5585	5424	55153	5290	23076	10989	28988	10015	5714	23612	8243	55704	7515	25920	6185	5411	5685	8573	2288	57599	23543	10111	3310	267	6949	55610	5713	9688	5335	8540	23345	51603	26121	51780	9444	11180	2010	4940	3996	1503	10460	1656	1147	27161	5520	90957	7343	8664	2782	7916	64601	8189	8899	10483	7249	1021	10342	54972	10097	3796	2664	10910	29966	10188	22827	7266	27316	5976	813	3615	39	8669	5108	10527	55140	9601	23633	1207	7756	3921	81	11311	8668	10250	51340	6711	79888	4522	1729	9694	51602	26046	904	9919	64151	24148	54865	10763	682	8498	2806	3608	11338	6626	2108	7410	3895	6050	164	1627	54464	84823	6197	1736	6801	7414	23405	4175	23234	9513	3006	9685	7307	160	3643	50807	4686	134430	10724	60412	2935	29978	4144	51594	51592	79902	27436	8508	8301	9733	5906	8907	22870	7082	821	9877	10580	9129	9698	25777	29781	28964	118	9188	2060	523	10808	6655	90850	6195	550	226	4684	5887	8661	26015	2011	3030	5036	8106	2778	9044	2617	4854	84164	55660	4678	22985	221092	4292	10915	57459	84859	26993	53981	8663	4131	11124	10277	56254	7415	5536	6434	988	55832	8452	55611	7514	83987	51547	9820	1994	26270	4171	2885	1017	8454	7531	10987	4609	23710	4869	8453	8065	10075	10013	7529	54888	6045	22938	3106	4116	9531	10273	23512	6059	5684	7186	2547	8841	7321	10971	382	7157	3383	3014	81631	5885	7283	867	5460	6134	3428	79959	219541	4214	7014	7874	1080	1213	5970	1654	23144	1026	4163	1642	351	7534	10576	1387	6119	10482	3309	203068	2521	1460	3064	5500	6732	4174	6667	6780	8353	6607	9939	5987	3312	1398	3315	1407	9636	7917	6118	5499	4771	3066	3192	8924	1915	801	4087	55366	60	10014	580	5111	1457	3396	5521	2801	7520	142	57520	4193	4627	154	7203	3308	22976	8450	7431	8266	8878	4734	648	2033	6464	2932	5430	5071	3068	1386	26986	3065	9657	11140	10980	6613	3725	7329	2335	6733	10528	3181	207	672	6117	408	6187	84557	85451	9391	84790	5728	2130	51548	3611	51741	8945	3609	6789	7189	6199	2146	7532	57154	23435	6606
351	638	3845	4356	51322	54462	9139	539	55361	79991	5600	323	3476	11218	89796	26578	1787	3306	80301	10238	26088	51693	4846	5127	11201	64708	23194	55738	5621	6416	6917	25855	83590	10923	92597	4194	6728	10438	79039	10211	23594	11152	3983	9203	90441	11214	208	1030	662	2263	140691	10062	79173	51195	8233	93323	65110	2803	320	55781	4350	7150	93343	10589	22862	3915	23139	27338	84294	9021	126789	3984	84154	1397	51001	10226	9158	587	4440	55768	80700	23649	91445	10658	5603	55742	27095	57761	9911	6653	8764	57117	7001	127733	80764	65008	2067	79656	1964	246330	8445	23647	55668	51105	51013	4302	642	51545	2768	64770	64927	54984	10943	29761	29844	55421	5292	51552	55233	5527	3667	51765	11104	84254	3655	9467	55268	8204	79670	5429	1022	4217	8214	10645	4287	322	64951	79980	10673	6227	10671	27246	9702	3840	1827	4209	4300	10084	63943	896	4154	10616	1455	10293	55090	85302	23111	55707	26017	51759	1998	6382	374659	91612	10978	80319	64857	5993	10635	54478	10455	10807	84080	57486	63935	9891	6769	3217	23095	55347	10636	51538	57704	64135	10	9479	972	51760	23708	2242	23061	689	79745	501	219333	54962	8479	29080	229	9655	54981	1365	64221	9205	115123	494143	1465	28951	83595	79661	54961	127428	5174	1316	9550	11157	221150	5264	6903	64419	59307	22883	27042	9262	10362	2036	57658	79149	51699	22822	55757	84251	254827	54897	25977	5524	9825	55758	7570	5720	11083	3801	138199	29935	2182	51639	5144	2192	8796	9997	55345	2960	95	55340	54361	51300	104	10769	54487	56905	9519	81876	5529	80262	837	11228	8338	2781	10069	9221	5753	9722	10081	2037	55139	2280	79672	948	23016	51203	5170	3267	25824	57179	54033	375341	3833	3018	79169	5606	79706	51202	59343	7326	6835	55132	4085	1677	92344	51642	114879	80007	5533	3660	153769	200424	5058	84950	116540	64787	22858	57035	23580	25926	6164	11130	274	114609	55178	6233	9444	6622	83461	4599	3159	1114	170082	5663	10458	5000	9113	79571	26258	55168	23235	5711	9314	2002	26003	27330	5692	50855	5435	26994	55052	7178	7010	993	6198	2961	2274	84726	529	10010	6208	154796	11143	54407	5584	11066	84708	2887	84612	8161	93380	8036	133619	84081	79132	8738	51535	1488	1478	6850	81565	4793	51018	10681	9099	9759	11047	8409	11269	723788	8676	11133	79666	6648	7391	51652	468	23612	5828	79618	26146	22983	213	85403	7325	5128	23421	83759	3437	6428	10714	6794	10423	10263	92714	23062	10078	84105	51530	64754	79159	10018	51100	8337	8536	51295	1716	57002	10551	1453	10933	4739	55048	4296	1508	4800	51010	10140	79139	55026	7538	9915	10422	379	444	27037	25873	10912	5451	9709	196441	121536	55916	2078	27072	5092	2307	285315	705	11154	65003	64771	200558	10929	991	2931	4137	147841	1198	2319	10476	7468	51444	9212	57596	65992	79443	84447	9140	5129	55850	51150	60489	6919	2517	5105	5071	7167	5536	6093	7384	219541	9391	84557	60528	9908	10059	1994	10987	4869	4193	1386	7529	94274	7514	6045	4609	3725	57154	10980	7014	3014	207	7329	6613	6134	11140	7321	672	7186	6733	3181	10528	203068	3064	5500	6780	8353	3106	7415	9531	10273	10971	3428	5460	81631	8452	8841	5684	6059	55832	708	4116	867	7283	23512	6667	4174	22938	2521	3309	7534	1642	10075	10399	1026	5970	10013	4214	1080	1213	4163	55611	1387	580	5111	142	4627	1457	154	7203	3308	7520	8065	7431	8266	8878	648	6607	3312	1398	3315	9636	10576	3192	3066	4771	4087	1407	60	5728	5987	4734	8945	10575	3609	8450	7189	22976	57520	3396	2801	6464	3068	5521	51741	6789	6199	2146	7532	2547	23435	6606	2033	2932	5430	8453	51548	26986	988	3065	51547	6732	9820	9657	7917	1654	5499	8924	1915	801	7874	55366	79959	1460	10014	6117	3383	408	6187	85451	3326	2130	84790	5885	3611																																																																																			
57696	10482	94104	23322	84154	81873	55035	10954	54873	84271	22794	10270	57461	5911	9804	54940	7386	54737	84033	8916	83743	9650	9921	22934	699	64223	286826	9261	2631	91452	7163	65109	54930	5557	9182	55823	92715	27297	84289	27173	374393	440574	57591	4898	84617	23160	29028	54476	5427	8625	439921	6282	6996	23286	10459	663	9203	11103	56946	339287	9682	54882	9790	83871	145508	9666	51747	65110	8021	57169	574406	79980	2926	3183	1727	1874	54919	80700	10614	55142	57798	2959	10228	51435	84134	8563	51692	3093	55197	23511	23255	9700	11315	3636	222484	1659	5096	10426	10159	10140	4676	23210	55125	10181	11072	1660	22803	51107	8050	7290	9857	6612	3655	9467	9526	23352	5709	154810	65094	1104	7629	5429	10726	5321	125058	8767	808	8241	54820	51663	8881	8502	54955	4209	65264	51763	55352	146909	84881	51234	148327	84146	4715	23264	10983	60313	5993	3704	10180	23568	55796	3841	9493	25950	149603	10057	780	6631	9223	6838	6892	22884	60678	90417	91782	80011	79622	55975	115024	220963	25799	29980	23360	144132	26469	90799	54853	55572	8544	283989	8702	10322	23576	51271	7389	283373	79633	8942	64834	90324	64114	151195	57099	55677	6834	255488	4649	5018	9512	2241	10208	116138	11252	399664	55795	22839	54874	9525	5524	3012	10286	23192	23762	4726	22937	79754	10569	1857	10667	64423	114789	25909	91369	23528	84061	10007	57143	23048	9221	23163	2889	85014	81624	55969	8339	10495	29086	1763	4775	26271	10981	54851	90135	80830	25948	537	23008	54732	4913	23509	8079	65083	25957	80308	26031	92610	26574	100379661	56882	375790	64759	27300	9124	1329	26136	64397	10526	6672	1676	5903	57122	5707	6449	8367	6605	9869	595	80145	2010	11346	5335	9688	274	6164	5681	51720	23636	5830	7297	8543	8697	55173	9875	10768	310	57727	9931	10204	9910	56893	7248	2961	993	7307	7126	5607	3459	7128	7756	84967	5894	1869	63898	6872	57120	9099	5869	84248	51535	55355	9202	27067	7372	8498	10763	65991	11043	10197	23181	54509	81622	56950	23399	5954	399687	23641	9530	51564	25885	22889	4791	468	54093	81929	5829	10454	4800	26024	23112	5888	2869	51320	211	27107	1514	23326	6836	23404	7067	23001	9972	10413	51010	8930	10542	127002	1388	2071	3654	9785	637	51061	23438	8508	23499	51035	7920	5566	57092	1736	8777	55689	55011	63891	84285	55109	6472	2023	10528	23512	4771	4116	23363	55832	8726	1495	9908	7514	1994	6045	4609	4869	3611	8453	9531	8065	22938	23710	4193	10075	1642	5987	1457	10399	7534	3309	1026	5970	3192	7014	7529	4734	2521	4174	6667	4627	7283	867	6134	6732	154	3014	7321	7186	672	207	7520	3181	57520	708	2801	5521	580	3396	6059	5684	8841	8452	81631	5460	3428	142	7157	382	10971	4914	5111	10273	1407	7415	219541	3106	8353	6780	3066	5500	3064	203068	6119	1387	351	55611	4163	1213	1080	4214	9391	7874	7431	10575	3068	85451	1654	84557	6187	408	8266	8450	6117	10014	22976	55366	10576	60	1915	8878	7189	8924	5728	5499	6118	7917	648	9636	6607	3315	8945	1398	3609	1386	3312	7203	6733	7329	3725	57154	6613	10980	11140	9657	51547	3308	3065	988	51548	26986	2547	5885	4087	5071	5430	3383	2932	2033	11345	6606	23435	1460	7532	84790	2146	6199	6789	51741	79959	6464	2130																																																																																																																																																																																
9371	9632	3980	55737	9183	3148	55114	79171	10095	1666	6741	55596	113251	5236	9784	161	5725	7157	6218	1198	83743	3607	3306	641	55339	84447	5716	10238	6783	9212	5867	5600	3910	6229	699	2495	2307	9070	9961	79759	54819	2011	113523636	5888	7011	93594	29117	25898	30827	4800	653121	6670	55585	9739	51341	6233	7023	472	8850	92609	3310	57599	112858	11130	9590	51720	79035	128866	310	55971	51121	23608	22954	8220	7153	960	7178	23309	1051	7150	1058	4221	79734	56254	6208	10277	11143	9577	6154	7114	125950	5530	3840	6881	84132	8553	9734	2081	54931	5336	5610	5531	10614	26058	403	53826	6877	2197	6303	4194	902	5601	6142	7290	3304	23352	9412	25831	1104	2783	2648	1022	51807	4801	55740	7572	6497	8178	2066	81603	57634	728635	1453	9318	2071	10771	2965	10542	51588	5300	3621	6285	2735	8471	54971	6830	7508	7280	6209	26259	6659	7334	259266	8295	10969	8648	9667	115426	581	7353	3093	221937	6152	55197	596	65990	112724	11315	100874074	7709	6615	7168	51366	5955	23368	23131	80237	6500	1612	50484	9232	1031	7068	8996	6721	1385	8456	1212	54894	5256	4092	8550	7296	28957	6277	3171	11319	147923	22858	5595	152006	23016	9054	8464	8837	10537	890	8312	1627	28996	688	10848	5930	23113	6155	8202	3265	116447	27113	5252	23093	63970	51649	57496	64432	10009	9913	7799	63931	3665	7128	80271	25946	2908	64067	6872	7704	10188	27086	7266	23215	204851	54552	83637	10628	7490	54566	80144	54478	55635	28973	55593	5534	6201	23072	79589	7707	4297	9718	5929	7515	841	10210	54941	5612	23076	4792	10474	546	84289	79594	25	6996	286827	9821	51667	54840	578	6634	200186	6778	7916	9682	7027	3172	3159	9540	4582	595	27161	467	1147	64326	29072	9015	55167	10200	7403	6147	6794	23172	8554	9338	10197	8864	2182	3091	9997	117584	10114	7341	54069	57621	7994	100379661	51455	9100	2296	8651	56950	81631	672	580	7415	57520	51741	5987	10014	308	11127	5528	23363	83987	1495	55611	3014	1994	4087	10987	4869	8924	6118	4193	3065	10075	3064	2033	22938	6045	4609	9939	2521	4174	6667	23512	7283	867	6134	7321	7186	207	3181	10528	6733	2335	7329	3725	6613	10980	11140	9657	9820	51547	988	26986	5071	8453	5430	2932	6606	23435	7532	2146	6199	4116	708	55832	6059	5684	8841	5460	3428	10971	4914	10273	9531	3106	8353	6780	5500	203068	10482	6119	1387	351	4163	1213	1080	4214	10013	7529	5970	1026	10399	1642	7534	3309	4734	1407	4771	3066	3192	60	5728	8945	3609	7189	6464	3068	1386	10576	1654	7874	79959	1460	3383	5885	2547	6732	23144	7014	219541	57154	51548	84790	9391	7520	1457	5111	3396	6789	3611	2130	85451	84557	6187	408	6117	55366	801	1915	5499	7917	9636	3315	1398	3312	6607	648	8878	8266	7431	8065	3308	7203	154	4627	142	5521	2801	22976	8450	1499																																																																																																																																																																																																																																																
2181	328	26155	10043	2335	25959	5690	9343	6152	10539	9798	6615	7332	22820	4733	6632	5230	4513	25873	7057	2665	2625	5216	11224	8359	3939	6624	3880	6383	85439	6227	10487	3856	3183	5579	71	2197	57761	5432	10094	5689	7001	124801	1312	126961	7414	7153	960	7307	4637	5691	4686	6742	2222	8366	6208	10915	6157	8361	226	3030	5339	5036	11221	5049	3188	8370	9588	7019	6209	10935	8365	6229	9188	160	2040	8661	51160	51100	25814	4175	10454	5829	2060	6218	8301	23499	2319	402	7253	5310	283237	8880	51639	2192	3007	5154	6810	6234	8574	6767	23564	3339	56984	1981	84617	8673	4001	55210	148362	3422	55856	55707	2244	8970	2243	5345	51154	10465	3697	3486	10644	28957	3694	4809	51202	52	57161	3925	4478	1968	10211	11316	7004	4354	10923	55589	9559	1660	6897	55651	3843	3304	1104	826	23019	5094	5162	1973	4154	3927	125950	1738	84324	3646	6133	10728	3482	6776	27335	55920	11160	5706	333932	6314	103910	8773	6154	29907	7791	28998	85236	7334	3688	23195	1729	3956	8367	6634	54433	8360	6201	8189	6711	373156	10952	8766	6428	81	3875	6628	213	23020	5933	5711	10483	3615	1212	10097	7175	8363	5976	27316	57504	22827	10376	1173	6233	9444	6626	3608	3336	3091	7525	3857	2317	1656	11335	51602	6228	1207	6147	8664	3159	1627	51649	722	6050	6633	3921	7415	9532	4171	55832	4869	10987	1017	23710	8454	9820	8452	6045	8726	23363	2885	3611	382	2033	3065	554313	8362	4609	3181	3428	207	7157	672	9939	10971	7186	4914	10273	10528	5460	81631	6733	8841	5684	7329	6059	4116	3725	6843	6613	3396	5111	1457	5970	10013	1026	10075	4214	1642	7534	1080	1213	3309	2521	22938	4163	4174	6667	23512	55611	351	1387	6119	10482	7283	203068	867	3064	5500	6134	6780	8353	3014	3106	7321	9531	3312	1398	4771	3066	3192	4087	60	5728	3315	8945	9636	3609	7189	6464	3068	1386	7917	5499	8924	1915	10576	4193	4627	142	580	5521	2801	154	7203	3308	57520	8065	22976	8450	7431	8266	1499	8878	4734	5987	648	1407	6607	6789	6199	2146	57154	7532	51548	23435	6606	2932	84790	9391	5430	8453	5071	26986	988	51547	9657	11140	7520	10980	801	1654	55366	7874	79959	1460	3383	10014	6117	5885	2547	408	6187	6732	84557	85451	23144	7014	219541	2130	51741	11345																																																																																																																																																																																																																																																																																																																																							
8120	4067	91949	3276	10128	1859	10189	27238	29924	3329	64837	22848	60496	526	57498	10938	10383	3480	4086	50809	8894	10594	9468	5717	23592	6135	10121	51585	1856	54536	6224	23557	84062	26258	11284	10049	1653	7317	6204	7360	6709	4000	6427	1072	10153	9793	23595	201626	10294	6138	6191	3376	11222	116985	51593	23788	9382	4804	26227	55250	9846	22913	5315	1315	6625	6777	84861	10134	10146	6193	4193	1386	9531	3312	4914	11051	9820	10013	10980	7514	142	22976	2801	8450	10575	1499	4734	5521	5987	1407	8139	154075	9939	3396	5111	1457	84790	57154	23584	6732	2547	5885	1460	7874	1654	10576	3068	6464	7189	3609	8945	5728	60	4087	3192	3066	7529	5970	1026	10075	1642	23363	7534	3309	2521	22938	8454	4174	6667	7283	867	3014	672	1025	207	1017	3181	6733	2335	55832	83987	6059	5684	8452	81631	3428	7157	382	10273	4171	7415	6780	5500	3064	203068	10482	6119	1387	55611	4163	1213	1080	4214	3611	2130	3326	84557	6187	6117	801	1915	8924	5499	6118	7917	3315	1398	6607	648	8878	8266	7431	8065	3308	7203	154	4627	7329	3725	6613	11140	9657	1994	51547	3065	26986	6045	23710	5071	8453	5430	26270	2932	2033	11345	6606	23435	7532	6199	6789	7316																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
161	6242	79711	372	6426	9183	28986	51318	54739	64798	3978	8740	328	8939	9238	5725	158	4794	10382	71	7301	4302	79571	3419	596	170082	81858	3551	805	85363	1147	387	396	5579	57506	5531	330	4792	4791	3856	23164	6047	5519	22974	80149	23586	3875	26009	10616	117178	808	5433	3399	51588	7010	7178	4637	26994	5495	817	238	5105	3717	7726	9049	821	142678	7132	5932	6879	1540	10454	9817	7185	8216	472	1964	3310	373	7168	8887	5036	11059	5581	54535	10318	2534	5584	10912	8737	6446	3654	55968	6208	10010	5204	79842	9100	80223	2043	11269	10746	2960	132320	283899	8517	55930	4642	4615	51135	839	5979	5082	5434	4793	55072	79173	1612	22900	404093	79671	7128	3241	7006	10206	9493	114884	2322	84126	19	23633	59343	8202	23683	3118	10527	8772	8676	51329	64127	5431	9815	10627	28992	539	29127	8915	51807	11074	29982	55651	329	10758	84875	92609	1627	8487	4582	266812	64425	9616	1649	8767	11040	56667	3397	55367	11078	8533	5071	7186	29115	94274	6093	5528	50650	84955	7514	3320	3326	8454	9531	3064	801	10399	22938	4609	1654	57154	7874	79959	51548	5111	1457	84790	1460	3383	5885	7520	9391	2547	219541	7014	6732	1026	10075	1642	7534	3309	2521	4174	6667	23512	7283	867	6134	3014	7321	672	207	3181	10528	6733	2335	7329	3725	6613	10980	11140	9657	3065	988	26986	6045	8453	4116	708	55832	6059	5684	8841	81631	5460	3428	7157	382	10971	4914	10273	7415	3106	8353	6780	5500	203068	10482	6119	1387	351	55611	4163	1213	1080	4214	10013	7529	5970	7431	8065	3308	7203	154	4627	4193	142	580	5521	2801	57520	22976	8450	10575	1499	4734	5987	1407	4771	3066	3192	4087	60	5728	8945	3609	7189	6464	3068	1386	10576	5430	2932	2033	6606	23435	7532	2146	6199	6789	51741	3611	2130	85451	84557	6187	408	6117	10014	55366	1915	8924	5499	6118	7917	9636	3315	1398	3312	6607	648	8878	8266	7316																																																																																																																																																																																																																																																																																																																																																																																																							
6657	740	3980	55066	7272	3313	10573	10946	84733	8932	55299	8021	9919	8125	3840	81556	904	10381	1912	11321	23613	57634	3959	57082	9361	60488	54623	7572	9612	57504	841	10556	65986	151246	10147	8533	6299	2296	23352	7341	53615	3843	5527	65005	5573	51073	4676	11215	7726	728642	6929	22870	51592	23499	8301	2120	6595	3607	7057	10179	51691	9575	9733	57459	23367	6429	51343	2737	55636	9688	81611	55742	5432	5887	29945	8697	10768	65008	5584	50804	10943	124540	51421	51366	23013	80232	23113	116113	3615	11212	64434	58499	182	9925	5989	5089	22929	10495	23293	8079	123169	64949	10212	8554	29072	23528	9736	259282	8535	84159	51434	25852	6935	3727	4781	3491	29994	11157	84146	10527	57616	3202	10465	54815	54994	2122	79832	4289	23195	7280	29882	81887	55929	51433	26173	23309	84629	100506403	80012	169792	51388	51341	392	56888	2059	57819	1523	54973	6050	5080	57592	5577	1488	4204	56952	339287	7750	8841	5460	9532	57038	1495	1994	51547	8452	4609	6045	4869	3611	3065	9531	708	6732	2547	1460	5885	3383	23144	7014	219541	57154	51548	84790	9391	7520	1457	5111	3396	9939	7534	3309	2521	22938	4174	6667	23512	7283	867	6134	3014	7321	7186	672	207	3181	10528	6733	2335	7329	3725	6613	10980	11140	9657	9820	988	26986	5071	8453	5430	2932	4116	55832	6059	5684	81631	3428	7157	382	10971	4914	10273	7415	3106	8353	6780	5500	3064	203068	10482	6119	1387	351	55611	4163	1213	1080	4214	10013	7529	5970	1026	10075	1642	3308	7203	154	4627	4193	142	580	5521	2801	57520	22976	8450	10575	4734	5987	1407	4771	3066	3192	4087	60	5728	8945	3609	7189	6464	3068	1386	10576	1654	7874	79959	2033	11345	6606	23435	7532	2146	6199	6789	51741	2130	3326	85451	84557	6187	408	6117	10014	55366	801	1915	8924	5499	7917	9636	3315	1398	3312	6607	648	8878	8266	7431	8065																																																																																																																																																																																																																																																																																																																																																																																																																				
6117	55809	6426	22	23303	79886	55737	55705	3313	9652	94239	9274	6119	10658	7515	8243	9416	57466	51552	7112	9984	9343	2017	23164	6711	5861	4522	22974	23244	3939	4008	64761	125950	50628	51663	8241	24148	3608	11168	5862	821	79443	641	81929	23307	9685	7153	55339	55602	55660	4221	10915	84893	5888	9643	90850	160	23234	23543	10111	6949	118	7169	80145	23242	22832	25836	7916	7156	10523	7030	124540	23020	151636	2976	26173	10657	4361	103	4350	9114	10270	5985	26517	56998	5434	3615	6133	27332	5982	29935	57142	11142	54439	5872	51560	55720	11169	27086	80004	84126	116092	1763	23016	26064	4913	8514	5870	79228	6201	10286	11083	54464	5557	8189	84172	1660	10857	902	22803	23063	9320	6142	5814	4683	6628	3688	1022	3171	26509	6596	8148	84461	91748	3106	7014	85451	11127	9532	988	6118	1994	9820	51547	8454	4869	6045	4609	8924	7514	1457	7189	7520	5111	3609	6464	8945	3068	57154	1386	3396	51548	84790	9391	10576	219541	1654	7874	79959	23144	1460	3383	6732	5885	2547	5970	1026	10075	1642	7534	3309	2521	22938	4174	6667	23512	7283	867	6134	3014	7321	7186	672	207	3181	10528	6733	2335	7329	3725	6613	10980	11140	9657	4116	55832	6059	5684	8841	8452	81631	5460	3428	7157	382	10971	10273	9531	7415	8353	6780	5500	3064	203068	10482	1387	351	55611	4163	1213	1080	4214	10013	7529	3312	6607	648	8878	8266	7431	8065	3308	7203	154	4627	4193	142	580	5521	2801	57520	22976	8450	10575	1499	4734	5987	1407	4771	3066	3192	4087	60	5728	3065	26986	23710	5071	8453	5430	2932	2033	6606	23435	7532	2146	6199	6789	51741	3611	2130	3326	84557	6187	408	10014	55366	801	1915	5499	7917	9636	3315	1398																																																																																																																																																																																																																																																																																																																																																																																																																																													
7919	11198	29110	9774	6599	10694	29888	2956	526	832	9646	6259	8289	9410	55737	23347	55770	5591	23513	22872	440	50809	92170	1785	6472	127733	200894	167691	55081	29115	7317	10153	4000	27044	2091	9131	5286	10048	6129	6122	10049	6427	9793	6709	22913	11127	6138	1454	6188	8027	26227	1315	201626	9927	5394	1500	6625	3069	10489	7171	23788	51593	6421	10146	6193	7486	54888	3312	4914	55054	11051	8452	51547	10013	6045	4609	6733	2801	22976	8450	10575	5521	1499	4734	5987	1407	142	4193	4627	154	8139	84790	7520	1457	5111	3396	57154	6732	2547	5885	1460	7874	1654	10576	9939	1386	3068	6464	7189	3609	8945	5728	83992	60	3192	3066	1213	1080	4214	7529	5970	1026	10075	1642	23363	7534	3309	2521	22938	8454	4174	6667	23512	7283	867	3014	672	1025	207	55832	83987	6059	5684	81631	3428	7157	382	10971	10273	9531	4171	7415	6780	5500	3064	203068	10482	6119	1387	351	55611	4163	2130	3326	85451	2885	84557	6187	8726	6117	801	1915	8924	5499	6118	7917	3315	1398	6607	648	8878	8266	7431	3308	7203	3181	2335	7329	3725	6613	11140	9820	3065	26986	5071	5430	26270	2932	2033	11345	6606	23435	7532	6199	6789	3611	7316	1994																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
