Community	CRank	Conductance	Modularity	Random
139	0.622104	0.9519	0.000341	0.455757
140	0.545835	0.932744	-0.002228	0.901086
141	0.445292	0.948458	-0.000281	0.554088
142	0.369024	0.938636	-0.00053	0.561461
143	0.167939	0.936517	-0.001517	0.481516
144	0.268481	0.949203	-0.00214	0.833051
145	0.268481	0.972768	-0.000517	0.087667
146	0.268481	0.928413	-0.000786	0.418198
147	0.445292	0.957334	-0.000974	0.648987
148	0.722646	0.960014	-0.000445	0.521264
149	0.445292	0.911076	-0.002669	0.885145
150	0.899457	0.951965	-0.000236	0.640305
151	0.445292	0.946702	-0.000443	0.610951
152	0.469566	0.907432	0.001889	0.260308
153	0.545835	0.961109	0.000139	0.997572
154	0.545835	0.904161	0.001988	0.192497
155	0.445292	0.911429	-0.002844	0.292692
156	0.445292	0.954393	-2.4E-05	0.267122
157	0.545835	0.910361	0.001828	0.512537
158	0.545835	0.917992	0.000588	0.21634
159	0.445292	0.923025	0.00011	0.03073
160	0.545835	0.930064	0.00072	0.478418
161	0.445292	0.943735	0.000425	0.764318
162	0.545835	0.965365	-4.4E-05	0.893142
163	0.722646	0.967478	-0.001034	0.032503
164	0.445292	0.955558	-0.002091	0.283752
165	0.823189	0.958612	-0.000711	0.016735
