#
# hold-out likelihood (Tue Jan  4 02:40:42 2022)
#
# communities	likelihood
100	-1.15618e+06
111	-1.12214e+06
123	-1.15345e+06
137	-1.17906e+06
152	-inf
169	-1.20127e+06
188	-1.2483e+06
209	-1.2286e+06
233	-1.29286e+06
260	-1.30995e+06
300	-1.36101e+06
