22900	24149
4116	3187
10048	10987
1063	6840
7316	80305
87	324
3601	8915
257019	539
7322	9867
2908	6421
7514	23382
9898	648
8452	10528
58480	309
23327	83987
4751	170482
55847	6059
132789	5987
8604	23380
5515	1072
8841	10009
51386	4914
5682	11047
1628	3428
1457	57587
5869	2664
11335	5591
4678	8350
23468	3921
9097	58477
10765	8535
7756	6059
14	6134
55603	8535
57187	103
6950	10971
3015	8363
9782	27185
10127	79666
4914	51608
112950	9623
5931	5252
3832	6228
7150	7726
10273	9531
84759	8239
6429	6434
7385	6497
9100	80149
23633	4171
85440	7415
4738	10949
7133	7184
1315	10010
1869	8202
80342	26127
9414	23363
58517	8353
3832	5195
11133	55140
4093	8888
80279	3728
6794	3014
58478	80179
57217	4176
8452	6201
79691	9636
81608	3981
6595	648
63898	5500
4904	1994
1994	80306
10598	10575
25807	9217
8539	3064
2521	7534
7316	8338
5108	10112
1994	4673
672	3082
6230	9702
3459	10482
7531	5208
23028	8676
57506	11133
121441	203068
54815	8350
988	6780
10528	6129
1407	7917
5905	10482
9815	5062
3163	140612
55133	6119
1387	26039
3064	8358
6628	9656
8669	8667
51619	55611
5252	8357
8365	4116
1025	3187
3609	4176
10994	2547
4609	317781
7431	867
55668	56341
4869	6139
8409	8409
2296	83987
55758	6613
4214	6137
4869	8366
1994	8496
11218	2091
23344	23344
7086	5580
100037417	57520
10298	7529
79155	8517
27252	84717
1107	3066
3178	22827
8481	84318
11035	4641
2017	4869
5518	29966
3093	55905
8648	10498
11284	8604
9820	55023
142	498
55003	9045
50512	50512
54534	6182
4092	93
9401	9938
2332	25948
10075	1642
4208	7534
1627	55607
3843	81847
7030	5682
2010	2664
1994	6760
23637	23400
1385	6721
2521	3190
7531	6427
359948	81669
51018	23363
10573	1039
54472	4092
1431	7189
8454	10342
4793	81930
5704	23524
81831	8660
7249	1612
5713	26270
3020	79711
5980	9759
4176	8367
11335	93474
6672	1788
26015	3611
5360	200895
1656	125115
64210	57466
1478	6102
10014	122953
8899	6628
7283	10694
867	3575
6155	6134
8189	56916
5599	1027
11100	6117
11078	54785
5925	4914
10273	113523636
4904	48
10421	4914
3190	3146
2065	2885
22879	64601
9774	51535
54464	22948
867	5795
