#
# hold-out likelihood (Tue Jan  4 03:57:29 2022)
#
# communities	likelihood
100	-543357
111	-557469
123	-543175
137	-542543
152	-536178
169	-532647
188	-530728
209	-544726
233	-542301
260	-543725
300	-543907
