4641	2316	832	8826	4627	1627	80179	399687	11346	2885	2060	90102	1213	6709	960	6464	3983	1073	71	22919	4914	1212	23164	57584	6711	7157	6840	302	163	3326	6667	83987	10096	11035	7798	2314	10409	7464	6119	118	6118	6117	85439	867	26137	23363	25	8517	4171	6059	7514	2319	7186	79901	120	2317	91624	7111	4629	324	11034	87	5898	10617	57092	7323	5521	10969	2869	4794	3304	57154	2902	26037	3759	286336	3751	286077	55970	29760	7730	25828	9213	9706	1326	4605	5576	51720	826	23111	80705	2735	80254	25778	9493	699	54477	10146	10159	128308	22890	10454	27072	1460	5581	6199	207	5885	51133	9775	7158	7283	10014	26270	4793	7189	6427	1385	2010	10075	8481	3178	57520	2547	9656	7917	6780	988	9702	5108	3064	3981	10010	4738	7415	9531	10971	648	4116	9391	55054	2810	7874	7203	3308	8065	5594	3312	51548	6624	9968	975	4292	56257	9146	51586	238	5597	11140	3309	7329	472	3184	8726	1856	2033	6622	11345	7525	27316	29079	6789	9948	23242	9820	4609														
6137	6129	25939	10492	29062	10980	6626	6731	6133	4914	7295	8452	8453	10987	5071	4171	11345	4869	975	8065	6780	7157	3192	55832	6118	23435	6117	9820	90019	51548	54948	4711	5594	11215	3188	2810	57154	10884	51264	5082	51807	5245	5781	64978	28977	10969	10468	6627	9482	55011	4615	6154	9590	9318	54828	3068	11200	128308	29110	27229	1460	8139	65005	80321	9045	4214	4609	1025	6119	7917	988	10482	672	2521	3064	10598	4904	3014	7415	84759	10971	1457	83987	10528	7514	4116	51263	7257	3326	4292	6477	3837	27316	8726	8575	6199	3437	5885	5460	2885	7283	3611	4793	7189	1642	10075	3184	27043	8454																																																																																	
8349	79711	5928	8359	8350	7913	4678	8361	121504	8370	8520	8363	8358	8352	8367	8362	8294	8360	8368	8357	8968	8356	8353	8355	8354	554313	8365	8364	3065	23492	3068	8351	3020	8366	7290	8338	5252	126961	4171	5931	3014	2885	975	3021	23468	23466	1058	29117	8535	9274	9555	4297	546	8290	4869	113523636	57459	6134	3064	6310	4609	27086	9112	8452	3015	23363	3066	9820	7316	11345	2033	4204	54815	5925	23543	2547	4691	55832	7157	2521	1104	8065	6749	6613	3024	22938	7520	8726	4605	22890	27250	9706	6446	7443	5966	2308	84132	23304	5253	26524	54328	254048	4205	54904	11143	27043	6907	3476	10445	30827	4287	11130	7341	51317	6612	93380	5982	51720	57492	23039	80321	1660	10657	144811	23612	11198	3329	6199	6472	6597	7158	5460	28996	56916	1385	2010	1642	10075	142	29966	11035	57520	1025	7917	9702	10273	10971	8841	7514	2908	9474	2869	10524	92345	1051	10592	27161	9391	7874	5565	6605	2023	3315	10492	8487	83759	373156	10250	9612	23476	6622	5371	3184	7329	369	4193	11335													
8239	8364	8370	8367	554313	8363	8294	8368	8360	8359	8361	2597	8362	8365	121504	7913	4678	8518	8312	8877	2353	132660	51377	55832	8453	10987	8452	5970	4869	8366	4173	4609	6477	23198	8065	898	6347	10410	55033	55957	9775	7132	9820	4214	2885	4171	2735	4209	4116	26270	5885	11345	23363	3021	5933	3428	83987	2033	4914	10971	9112	988	5460	3065	3068	2521	5071	10379	5594	3326	8726	5052	3064	3178	7767	6647	10769	57492	6310	6907	112950	10524	4087	10445	6612	93380	10542	26524	6446	3910	29110	8648	142	10075	2010	64210	7186	7158	6118	6472	6199	867	3309	6119	7917	6780	6789	10250	57534	5520	975	8767	2023	9702	84759	51548	22919	3205	23543	3981	57154	55611	5430	4676	207	8520																																																																
10155	6774	6472	3313	2547	6711	9785	10667	2521	4914	10987	11345	7189	8454	55611	6789	8452	11130	7341	22890	10454	5594	5467	8139	10542	23326	8065	27229	29110	4794	92609	55278	79139	51079	7203	6667	9391	57154	3055	27161	3717	3068	7251	10524	8737	5521	1051	960	79690	84911	55748	55848	2242	3927	8820	4597	4314	10652	9019	9519	1104	2923	1326	10410	153241	4605	10657	5049	54477	4831	115509	23410	27043	5531	79633	7556	10614	5170	23111	826	5781	10379	4731	26108	7068	51720	10240	3611	4793	2010	81847	10075	142	8648	11035	3178	3066	8517	4214	6613	1025	6780	988	9702	7534	80306	1994	3014	10010	4171	9531	10971	2664	5869	3428	8841	83987	10528	7514	2908	324	4116	25942	1386	8290	51548	6624	2023	3608	975	2969	25920	6477	708	9646	2260	5829	23476	5371	2033	7283	5925	5460	7158	9775	6597	207	8837	6199	7297	238	55832	3065	8726	5071	2957	10482	9820	6118	23363																														
10432	10294	1500	10951	4176	7913	51377	11335	4678	8366	1022	121504	2353	5933	8365	3428	4173	8362	8361	8370	8294	8359	8367	8360	5925	8368	554313	8363	8614	8364	4171	1025	9820	23363	6615	5885	23468	4116	8452	2735	83987	10482	1994	648	8353	55832	9775	4914	3014	10379	2033	10980	342184	8290	1386	8878	84911	130940	3205	26037	5797	2195	25936	71	6895	4605	10413	30827	6907	6446	93380	9682	4331	54904	3840	27043	8454	2010	142	29966	11035	3178	57520	6613	2547	55611	9656	6119	6780	988	9702	4904	7415	9782	8841	10528	2908	2023	7520	3326	10250	6789	29079	7525	6622	369	3309	6199	6472	6597	6118	7158	5460	4204	6117	56916	4609	3020	8350	11345	10987																																																																					
4670	6421	7307	11338	4841	4914	10210	988	23451	6732	10523	5481	22938	9584	8452	8175	4793	51428	23363	3178	9820	8726	3064	7536	55832	6117	10992	6118	10915	8454	6119	2521	10987	322	6625	5725	11193	23524	1994	10250	11345	10482	2810	4641	10014	2130	7150	10657	23543	56916	6427	10075	4193	83987	6780	6199	4869	2547	3184	3190	55082	4904	4171	3326	5093	4116	25942	11200	7316	975	10286	9775	219541	3921	55692	7157	3068	3066	5071	1499	23435	8065	7251	26270	648	3065	57154	7514	6627	29110	4609	6472	2023	10142	7490	3312	3014	3187	2969	8517	2908	6667	7750	10528	9636	6432	2885	3020	7329	8241	221786	9129	10625	57092	8554	114034	1022	6907	6446	1660	92140	163	7341	128308	8139	2869	51155	10542	84844	54039	92609	4794	2176	324	51586	3024	5700	382	10521	11140	1408	8837	6597	5885	7158	7321	10598	3611	7534	2010	9045	142	6613	7917	4087	5898	8543	6310	6294	7248	898	8841	9391	3188	7874	10128	5594	9531	25	9968	56257	83759	373156	1655	8453	3183	6314													
6950	7203	29888	22948	10574	10575	8428	55605	29110	5515	8439	4171	5520	10694	988	10014	3959	26127	5531	84790	7415	4914	8452	22938	2885	2521	7283	6199	3611	8841	892	283349	10075	25843	26270	3065	121441	7157	5521	7297	9820	8139	5195	83987	3654	11345	4609	4214	6789	9128	57154	1025	5071	86	1386	5522	55844	7316	23363	2010	10598	25895	7416	92609	2308	23046	81608	9531	9782	5888	10971	5049	8535	54477	4831	2130	58477	79871	648	10614	51295	10987	83605	8892	2861	369	5597	9869	10250	84078	1655	3326	8487	975	10492	5885	2023	5460	51548	5925	9218	3312	3308	4869	55054	7917	6780	9217	10524	9908	6667	3476	10454	80143																																																																												
55720	3065	3066	4800	10363	5268	6776	1108	5601	699	1487	23028	51317	7157	672	5928	5931	57504	25942	1387	57459	6667	326	9112	51548	1051	1994	2033	4193	6597	6615	8815	6613	25855	6595	5925	54815	5970	6670	6605	1385	4851	8350	4609	10445	83987	3308	1457	8726	4914	10765	1655	7528	56916	23468	4297	22938	57473	5467	2969	6134	5987	9869	142	3840	3064	1460	6472	54828	2908	7750	10075	8945	4087	2002	1642	6118	2547	10614	472	9636	4904	80306	5336	27043	8295	6119	25843	55715	7341	6612	8409	80321	22890	10454	27072	57520	9070	10923	29966	118	51061	8648	9820	216	282679	54997	51209	132884	7363	3071	6470	2195	3927	8820	1997	659	10956	7443	6895	120	5792	4605	324	7322	10528	6907	8050	3921	144811	5781	6722	7415	5116	5885	207	5594	6199	6622	3329	5371	8607	7329	79776	22992	2023	9968	9646	975	2957	25920	6477	3837	64174	84078	10250	27316	7525	2010	55291	79913	26270	64210	10667	10625	23476	3717	10524	8543	6117	7321	3183	6294	79876	10592	71	7508	7158	7874	5564	5565	6233	3836	4089	4204	4869	7316	1386	10014	8290
5706	5700	5708	11047	10213	5711	51377	5718	5683	23770	573	5705	5701	5702	7316	80227	5071	5886	4914	5716	7189	988	22938	4193	10075	23198	4609	5682	9531	7415	8452	3312	9318	2869	26270	29979	83987	867	6199	10482	10014	8924	3308	5885	6477	11007	8878	10049	3309	5460	130617	5691	9709	9474	2289	6667	56893	5916	4854	22890	10159	3667	3915	4831	84790	8344	5796	6449	5082	5689	4287	51185	197131	8776	6096	1269	6059	58477	10598	3064	2521	121441	6780	7917	1025	9820	5925	2885	1655	8837	6472	220134	11043	55832	23435	57154	55054	6256	5604	6500	7874	7203	5467	9218	51548	25	10492	3326	4292	6314	3024	5970	596	24140	1407																																																																											
5706	5347	10726	5695	5683	51377	5692	5718	51371	23770	84262	5705	51729	5682	5686	25793	5701	5689	5691	5694	5071	3064	5702	4914	5708	10213	4609	5886	8454	7316	267	57520	23198	10075	7189	9531	9657	84447	2885	5290	10482	988	22938	7158	26270	207	57154	11193	10014	7415	10049	2289	9820	10445	3667	10567	9318	10159	9474	128308	4854	4794	7159	22890	25945	284434	1460	26100	1269	6096	56925	10855	8776	58491	10769	84626	114987	51185	57695	58513	221545	4189	9706	55112	2631	4287	5082	6449	79670	5796	8526	84790	699	11143	4831	54997	3915	2033	596	55832	10521	3309	5597	11043	3329	6199	6472	8837	1655	4204	7186	5093	7283	8481	8517	1025	55611	7917	6780	121441	672	2521	10598	23363	10010	6059	648	7416	11200	6667	3068	7248	56893	1499	8175	9709	65057	6256	23543	6500	7874	8945	7203	3308	5467	9218	51548	7156	25	8924	2023	10492	3326	4292	6477	55295	5970	6218	4193	5916																														
2058	6117	6118	6119	9821	4149	80145	11083	2965	5814	4998	10270	3735	6142	1022	9984	11168	11021	55602	4350	25873	1523	125950	1994	83987	10987	4629	988	3192	7157	8452	29079	4171	10482	3178	64761	8454	10075	7508	55011	56254	26100	118	3910	1499	6294	27229	26747	3183	29110	4794	64960	320	5877	9474	6667	7248	4255	10524	388115	57695	9519	9706	153241	8227	7727	7461	7572	11059	5576	79832	23404	56925	1660	54904	26093	5504	5531	11143	8295	54477	25843	7341	58506	9973	11214	10454	238	8607	6472	207	1655	4204	7186	5925	7283	10014	3611	4793	9820	11035	3066	57520	6613	1407	6780	2521	9217	7415	84759	9531	112950	9782	10971	8535	3921	4914	6059	10528	71	10969	7251	3551	55054	2810	23543	7874	2079	5565	5116	22919	5594	25942	7156	3181	55755	8924	22992	2023	10970	22794	7520	55646	10492	4292	3837	27316	11345	2033	369	10521	5597	79228	648	7158																																			
