#
# hold-out likelihood (Wed Jan  5 11:52:22 2022)
#
# communities	likelihood
100	-936060
111	-925211
123	-950299
137	-945583
152	-930710
169	-917737
188	-1.0344e+06
209	-1.05259e+06
233	-1.11515e+06
260	-1.13472e+06
300	-1.10303e+06
