2353	1665	8294	8367	554313	8363	8360	8368	8361	8364	8362	8366	8365	6222	8359	121504	2597	11335	353322	2186	4175	9555	5933	10294	10951	10419	23468	5928	898	5931	3068	3065	3008	2885	4869	7913	8350	9820	8353	5925	8452	4609	8450	23363	2335	10987	90933	3014	3020	23710	11345	3021	4214	9775	6347	7132	8065	51377	408	55355	8453	149628	9112	113523636	5885	4116	2735	55957	8614	6209	26270	6477	8726	54465	5430	6597	1994	9557	3178	2033	10379	55033	5071	7157	4914	51548	9935	8295	8099	5603	3064	22890	79084	80321	8175	3735	23028	10482	79959	1788	1457	580	55611	27125	120892	7529	7014	6732	7874	10142	23411	10075	785	10008	84220	79818	5432	9015	6472	84991	115426	84289	6059	5496	55284	79576	81631	11193	54622	5601	8535	29882	5460	4851	6303	5563	5037	10726	7520	81789	6780	5500	6881	5300	5000	4193	3308	6622	6733	5595	6118	8266	25942	10155	7514	6607	3312	6119	2547	9636	10980	2023	55366	6117	4843	10210	3608	6187	55771	3309	3326	2130	7531	7532	23421	10250	51741	4738	10856	55791	7536	7534	6606	6598	2521	2869	56259	1386	6464	3320	1408	6595	7283	867	56916	4087	4904	3192	4771	4255	3181	83987	1025	1499	23435	6310	51428	1655	207	10598	6199	5521	1407	4088	51547	8467																																																									
2631	5198	10856	6732	6432	5499	9774	3178	6118	23332	5610	23435	4914	3192	3159	7415	6780	7514	8452	10482	2335	988	22976	8295	8175	57594	54443	51548	3551	5603	6426	7132	79959	22890	6790	84572	4771	9212	4292	8508	6464	3068	1386	4792	2869	6598	2011	7536	142	7874	85451	1460	6804	9113	10413	55602	22853	79228	4129	167227	10401	1181	8537	6992	221692	84874	9663	57222	79660	81566	141	84152	113246	140688	388403	90673	57721	6885	9150	286262	51631	1660	4149	7919	9894	10211	79576	79753	23097	55147	64118	896	5445	25962	8312	27065	23092	5529	1267	5925	83987	672	1025	10193	1655	207	6199	6733	5501	29079	11140	8454	8575	3608	4738	5728	3184	23710	8453	4116	8841	22938	80179	9531	8353	8450	5500	5300	11331	4163	1213	4214	10013	7529	2353	55930	10075	2521	1408	56916	10155	56257	57332	80145	4751	1147	8065	3308	5564	4193	1407	84612	5036	3030	57520	10598	51428	10921	2222	11007	22919	55791	645455	51741	10250	7532	7531	2130	7325	85403	8554	6187	408	8726	4843	10014	57504	9636	3312	648	23468	7157																																																																																											
55596	9743	57062	6431	3184	3320	7345	4193	4914	8452	672	10482	7536	6606	57521	6132	6464	5295	3192	4255	9474	1499	23435	10921	8440	57520	5521	5522	83943	6622	55844	29941	25759	51073	9666	6631	121441	23613	6388	4867	10262	11092	2904	8480	65056	4690	151	10179	7014	89845	10284	5071	4738	55771	4609	51547	9657	10987	10528	207	6134	2033	9045	5518	7529	4163	55611	1457	5300	6780	81631	6472	6118	56257	648	6607	3312	7157	4869	10014	6117	408	84557	2885	6045	3309	3326	5494	9564	23421	5597	83759	10250	8453	351	79753																																																																																																																																																																																	
51428	10521	988	8175	3190	8452	23363	22938	84991	3187	7536	6429	9820	23524	10236	10250	3178	10262	27339	6733	6625	6426	9775	8454	8726	11338	56259	11345	10992	23020	10921	4116	84557	6626	6045	1655	6634	23710	2335	11193	10987	2521	4914	4904	3188	6627	81631	6780	7532	55660	1994	27316	51741	22827	6631	8065	3192	580	8450	23435	4686	26528	3184	8453	10598	3181	5300	10179	10657	2130	7316	10014	56257	6119	27332	6118	26270	6607	6430	6632	9129	8353	51547	6117	1660	10482	7514	1457	10075	10492	83987	6606	3068	7919	9636	5071	5094	4609	3183	10980	6637	26986	7531	8266	56916	648	4738	10013	1407	3066	23191	55611	2869	9398	3654	54971	6434	10142	10284	26039	7750	873	5781	5496	9666	55147	1981	79576	837	6059	5601	23603	5460	4851	6303	58517	51631	7936	79084	22890	79228	51548	9169	80321	5683	79959	2547	2033	1778	1915	55366	10210	3320	6187	1408	2885	373156	2801	10569	1025	83737	9146	129831	6199	10856	10528	3608	6613	5501	3065	25942	8575	3014	6464	8945	11168	4163	4087	9001	5692	7323	8428	1499	7529	6310	23411	9821	6622	9128	5564	4193	4088	5521	54534	84612	5518	54165	5430	6134	1460	55791	85015	6633	351	11051	6472																																																																			
1627	3148	80179	399687	830	54443	4641	26137	4637	10094	6711	7170	6709	11035	11346	10376	55930	5954	5500	1173	5501	23603	9414	2885	6840	10097	26064	2335	71	1213	829	22919	120892	1994	112268148	5339	90102	7798	55589	4914	3326	6464	801	6667	83987	8452	988	3320	5728	23363	9820	6117	11140	51547	1080	8517	22938	81631	10482	286262	118	7514	6310	1386	79901	10540	27185	3312	22832	23710	2934	30011	23524	10211	7529	10987	4008	55607	2072	7266	26270	4116	8353	54477	805	4478	57553	8726	324	6118	7532	6119	3309	2869	2023	10992	4602	7046	3717	1660	10159	51631	117178	8467	6881	5861	5195	51548	8450	6780	85015	57473	4690	3064	79959	580	50944	138428	26108	121512	79660	133957	2592	143872	26521	83594	9896	165055	6624	9456	2043	55676	3741	26271	81792	59345	7381	84991	3376	64083	8312	9706	90522	147700	80323	7879	6059	9052	5601	8535	374654	5460	7919	2629	6622	8065	908	1408	8266	5932	7283	9636	25	7917	8678	1778	1915	867	55366	7186	4843	84557	7416	6050	4189	1655	6199	2130	7531	23421	5597	5595	2801	645455	9146	3184	10856	29079	9657	3014	3654	10413	10574	7874	55626	51320	2011	113523636	10575	4792	55611	8945	4292	9775	4087	4771	5245	7323	5564	4193	2521	8850	4088	1407	58472	5521	7534	23411	22976	8440	10236	4670	4214	5930	4609	6790	808	7525																																													
4914	84295	64175	4175	6195	8125	8239	8899	92906	6050	5567	7936	192111	8452	51547	5496	3921	2335	64151	1479	11331	9820	3030	3735	2885	1994	7514	5245	7919	10014	11345	10075	4869	23363	26270	988	11338	23020	3843	1975	3178	4609	55611	3320	10987	22938	120892	4001	4163	83987	2521	26986	6780	2664	3326	9775	6059	4904	23710	81631	7532	51741	8312	7415	9657	8726	1386	10013	5460	22827	23193	92140	56257	580	22976	5430	3190	23435	6310	6199	4116	3068	8454	10921	5071	1499	7529	10971	4686	3841	5393	85451	5928	57520	3187	7536	6045	5518	4292	4214	8453	7917	3192	5564	6626	6430	6134	10575	51428	672	5708	3014	201475	55626	84289	339287	10284	10142	5781	7874	55147	6124	6631	1460	9015	51320	79228	6606	167227	144165	57521	4792	4043	2046	56259	54764	51125	9398	6464	3354	8945	6035	117178	9495	51631	10262	523	10992	8503	11021	9939	6881	5000	10211	22890	9320	6426	23235	832	5971	5603	51548	80321	4830	4794	23633	4690	4089	837	79576	79001	6632	10179	7879	3654	6790	10413	10574	10528	6733	5595	5501	10980	29079	11140	3065	3608	5728	3184	129831	9146	55791	83737	5371	5599	645455	2801	373156	83759	5597	7531	4851	5931	3188	58517	8353	8450	5300	3064	8350	1457	1080	55930	9045	5869	2033	8359	1408	7068	7283	867	56916	5925	207	9128	4193	8850	4088	1407	5515	5521	10598	11124	10236	4670	55726	22919	151636	3181	4255	4771	28964	4087	9129	9212	220134	5295	2130	6187	10210	6117	55366	1915	2023	8678	9636	65125	892	3312	6607	23468	22832	10155	8266	6622	3308	84557	10250	648	2976	3688	9877	7534
55269	790	5702	9349	6143	9202	6199	8452	1649	4914	11345	7157	23710	120892	26270	9820	90993	5521	351	7132	10971	23770	51548	10213	26064	5683	9531	4794	79959	2034	10253	6790	54971	5693	3301	55626	142	113523636	4792	3068	6464	3354	1353	5190	5540	7871	825	4116	4085	1981	5701	9706	6472	22938	79753	11193	5698	121441	5971	5563	57325	84305	6885	1810	55611	7325	5597	645455	9097	55791	8453	4214	5728	4738	10075	988	7316	10980	10987	6613	2521	10528	1408	6134	867	7283	9775	3192	23435	6310	10598	6780	23028	4088	4193	5564	6622	8065	6118	8266	6119	10482	4869	5708	6117	4843	8726	84557	3309	7186																																																																																																																																																																			
6599	7277	3609	6598	26039	6601	7391	56916	6595	6597	6780	8452	6760	2975	11345	10482	57492	4609	8110	2034	23363	8726	8353	988	81631	6118	2033	648	23524	10987	8453	4738	8454	5971	4193	2885	10075	207	5501	9212	7536	51320	7205	4087	4904	3192	5245	5928	118	6790	23435	3008	6310	10732	10678	169714	84643	81792	3671	5929	2494	339287	64118	55147	6631	1660	10262	10844	8467	6881	1278	23235	5195	6453	5603	8480	3551	54737	8175	79959	1788	6794	83737	55791	26986	3608	3014	9657	10980	25942	10528	83987	7186	7283	6667	3320	2521	3178	11331	5500	8450	7415	3188	9531	4851	4116	56257	10155	2547	57332	25	1915	55366	10014	10210	408	6187	8266	6622	26270	9564	1407	7531	10111	10250	53335	51741	324	3183	51547	7157	6045	84557	4914																																																																																																																																											
5705	5710	3912	9958	8676	7316	9861	8916	51377	4914	5708	26270	7157	5701	4869	9097	23770	5711	5683	8452	5071	10213	988	3419	85363	4089	9810	10422	7014	5693	56254	55626	6464	3992	220134	10524	9129	5692	80168	4969	2046	9690	58484	2934	80227	3671	51691	5445	8773	57819	2697	147700	90	5601	8535	10211	3397	10616	5796	5000	3965	84866	9820	1994	8454	10987	2335	10528	6199	207	867	6667	7068	1408	8517	10013	10482	23028	11331	6780	8450	9531	4851	5460	6059	23435	5887	57520	3030	5036	1407	4088	9128	3308	29979	56257	648	7917	55366	7327	10014	6117	4843	84557	3309	11345	8453	4738	4609	10075	3064																																																																																																																																																																		
6613	7341	26168	4839	9031	11177	128710	6047	10376	8554	7750	57594	5903	54737	22890	23633	10401	7329	4602	3843	54778	23192	6045	7415	2033	10155	3065	672	4869	83987	23363	988	9820	8454	7726	473	4205	8726	7316	1994	3066	2023	8452	3190	7157	5371	4087	10054	23193	5393	120892	55729	4914	3192	6667	2547	641	8945	1788	3068	6595	51013	1386	4736	10413	1460	6124	6132	5347	2869	6606	113523636	7913	56254	9463	55534	7727	55084	105	688	4043	23133	2002	6489	3671	54918	10773	5929	55737	27332	55284	9577	837	5601	5971	9894	6128	4149	4297	3397	8467	7132	6426	5195	50809	80321	7334	85363	5430	129831	5071	5728	55771	3608	3014	10477	29079	10987	2335	6733	10528	6199	207	6050	56916	6134	1408	8359	2521	7534	9045	7529	4214	1080	1457	10482	8350	23028	3064	5300	5931	27185	4851	6059	3187	9737	7322	5928	7328	7323	4686	23435	6310	11124	23636	6622	8266	57332	56257	22832	6607	3312	65125	57693	9146	7917	8678	55366	57504	5708	6117	11345	7416	2801	7325	2130	53335	7531	7532	51547	7520	5521	149628	10210																																																																																									
