#
# hold-out likelihood (Wed Jan  5 12:36:10 2022)
#
# communities	likelihood
100	-1.20702e+06
111	-1.23139e+06
123	-1.27362e+06
137	-1.25885e+06
152	-1.21608e+06
169	-1.32872e+06
188	-1.2999e+06
209	-1.29293e+06
233	-1.29921e+06
260	-1.39267e+06
300	-inf
