4116	3187
1063	6840
284654	55366
257019	539
2908	6421
80279	3728
8604	23380
8841	10009
3857	5460
79833	79008
134957	415117
11335	5591
90025	51072
80144	286128
10765	8535
7756	6059
1434	7157
4851	51434
5881	10519
56262	1880
6950	10971
9782	27185
10127	79666
5931	5252
3832	6228
10273	9531
5894	3265
23633	4171
85440	7415
1869	8202
9601	3106
58517	8353
11133	55140
10523	322
54832	7266
8452	6201
6780	10527
81608	3981
63898	5500
3577	983
8539	3064
10987	3853
26468	84304
332	5501
8452	6748
5108	10112
996	51434
7531	5208
23028	8676
121441	203068
54815	8350
5905	10482
3964	961
55133	6119
1387	26039
8669	8667
39	4163
5931	114548
1213	1454
26580	961
8409	8409
4214	6137
1994	8496
10014	1665
10013	4914
10298	7529
64422	79008
79155	8517
161436	4914
3178	22827
5682	11047
9759	23411
6872	2353
57120	5970
55003	9045
1026	10399
54534	6182
4092	93
5869	2664
10075	1642
3796	23363
10097	1212
54972	3309
10681	6950
25807	10618
1385	6721
2521	3190
51018	23363
6813	55215
4793	81930
3276	7068
1021	1031
375	10239
51377	1825
4174	10492
51043	6667
81565	137209
64499	64499
5980	9759
6500	23512
5360	200895
10483	6850
7286	9910
6901	374378
7283	10694
6155	6134
8189	56916
5925	4914
4597	1488
3190	3146
64919	8841
22879	64601
9774	51535
51043	10594
54941	3716
28996	4204
5518	83987
79901	1627
672	1025
79132	3692
23178	164
84081	4641
5885	6222
1164	890
1655	207
55967	4701
8837	23451
1017	2317
6774	4914
22861	838
10128	140458
5110	6199
10528	8342
2908	3329
9025	11200
127829	7388
23400	4886
27336	51428
5829	2885
7329	3725
9202	6613
55183	5501
3091	25942
51143	7415
55148	8354
7514	94056
3171	7088
4436	55611
8036	22808
661	10623
10980	8148
57616	23281
7410	8651
11171	11171
57409	5468
7514	9657
54819	5093
8493	3014
9820	2108
51530	245973
1994	4774
23170	51547
9678	84105
9782	6626
22919	6249
3065	57621
7965	54069
988	10078
988	7372
1649	51082
51616	6884
6001	382
3065	664
22907	3608
9820	2806
6788	3336
8648	4306
3091	4609
55771	29889
26986	4738
8498	682
5747	5728
54891	10856
7094	3184
988	29127
23166	23062
6780	94081
55623	54517
79018	2668
2091	54865
10482	65991
10482	4763
25873	4869
331	9131
6875	2957
4298	79577
8453	5430
26270	7311
11043	147687
1856	1856
2033	1859
28996	2033
83737	8650
79009	6895
4093	4089
904	5371
9540	3014
1031	60492
11345	3032
4093	8888
4214	5599
24137	9055
23193	7014
10951	84787
1436	6714
4731	4700
23435	6147
1717	26046
83933	9612
10048	4233
51602	23552
6794	3014
9694	337867
5700	9097
10714	1108
1488	10919
3065	7411
163786	9338
22897	146057
11140	5894
10036	7532
572	6281
10569	2801
5433	9646
9818	129401
2146	5469
11345	6228
4832	6199
4522	6789
4171	158
55154	79888
6711	324
5631	7314
9820	10890
1994	55004
51340	55837
3091	51741
23466	8356
3178	5034
988	3799
27352	5869
1994	80306
23435	29978
10250	8667
373156	1650
8668	8669
2296	6299
701	10393
83759	5936
9043	1974
11345	6599
1994	56829
5597	23421
25807	9217
11140	56950
5128	7532
54908	161582
10055	6613
57562	2804
1627	81
9564	7531
162461	23399
672	7325
6175	5494
3093	51444
51222	25925
1994	93643
3615	51547
23469	6829
79882	3837
5954	399687
4233	26270
4851	55193
79814	64795
5725	988
3958	6130
85403	79101
54148	84311
9777	81790
7514	93643
4776	23175
369	3326
3309	9657
1387	2908
6185	337867
10014	6897
9589	64210
54994	3115
7529	10036
51773	4171
10273	100288695
10061	6472
5597	25920
51606	85451
6789	2969
7283	60493
5954	92906
2885	1639
3313	3178
7082	3848
27125	4297
8726	55131
25885	5202
10971	3848
22983	10556
841	10210
55646	29882
5320	5320
7329	3692
90410	26146
11043	203068
6117	2189
26043	5708
7528	7979
8243	113130
10014	2746
997	22809
8363	8968
57504	1108
79577	5828
10733	1107
57510	23612
1856	5714
7529	10772
4942	3692
160851	55605
203328	338324
5371	1977
10989	93380
10075	64087
4691	23076
4288	7316
57147	23710
79701	10082
468	10970
1789	5833
11120	11133
10681	665
801	1159
51527	5824
1915	3316
22938	79029
23386	57565
10474	54093
23549	9882
10075	7314
55116	3597
51652	27183
2023	22992
4174	27043
330	56616
6418	3106
8891	5025
2521	2146
8355	8294
4869	55153
51067	26995
5424	4914
10411	5903
56243	3281
79017	7257
7175	5460
546	7112
54676	10437
2335	29789
4216	7391
10621	7917
1387	51193
149628	8361
1025	3187
57082	79003
2002	9314
57584	399687
5711	5395
5933	890
23382	29068
7257	55755
672	25
1982	8667
672	5595
23632	2177
23020	9636
1026	5859
7030	5707
55339	29896
54472	3556
55168	57693
4144	596
3646	9140
26258	55093
8726	6015
4173	5001
7391	2969
9871	4914
51729	84816
4191	2272
9902	9821
7514	10916
3315	7381
10014	9861
79886	11143
8766	54536
3315	23524
6449	10952
79869	79571
65125	998
8452	10540
6202	7415
27161	10238
79657	11321
10014	9611
2885	6709
1912	1398
81608	113130
6449	6385
5209	8353
1017	9113
6634	51741
124936	84197
4172	5000
55170	10809
890	8367
8669	10474
10131	4914
90362	1454
892	112950
7529	10458
2033	200186
11345	1796
55148	84268
5709	63943
7514	8607
113878	79666
9821	28988
1739	2977
4904	63893
10241	7916
26354	23612
648	26039
23468	8350
8664	84445
2065	3326
9031	23451
56257	9092
27237	93487
5511	2634
57332	1937
3159	3146
23435	90957
2597	5520
8878	7534
988	203068
7329	4599
8452	7284
7514	11321
51637	648
83461	10106
26036	80772
595	1017
3178	338785
23242	6118
56829	4914
11043	9975
126526	80145
3309	10915
4209	5929
23185	3428
7170	1147
8761	3608
908	55844
79811	801
1656	653121
10460	84282
8065	1503
9531	10482
10048	3996
9770	810
10419	4914
4940	26354
6622	3308
5599	7203
51562	4176
1994	54540
7257	5116
1994	51780
1663	124739
51422	84292
26121	9128
6747	114818
119391	7020
2065	6233
50512	50512
4927	55308
22938	29127
5564	55178
1408	23020
11140	4798
5714	382
6472	4914
23345	27185
7023	4193
8540	55054
3091	65065
643641	1822
8726	9688
1739	6868
22861	317
3188	4738
4914	26058
2261	3312
472	54953
10482	10134
6657	128239
328	6059
26511	1039
9131	9636
11335	11335
830	5500
