#
# hold-out likelihood (Wed Jan  5 12:11:06 2022)
#
# communities	likelihood
100	-937828
111	-917204
123	-941687
137	-862105
152	-936720
169	-969524
188	-982055
209	-990050
233	-1.01477e+06
260	-997008
300	-1.00632e+06
