#
# hold-out likelihood (Tue Jan  4 03:40:45 2022)
#
# communities	likelihood
100	-920397
111	-920914
123	-942679
137	-943704
152	-930494
169	-968203
188	-972203
209	-920140
233	-975309
260	-993894
300	-1.00897e+06
