#
# hold-out likelihood (Wed Jan  5 11:07:44 2022)
#
# communities	likelihood
100	-1.02559e+06
111	-984915
123	-1.02139e+06
137	-1.00029e+06
152	-1.09371e+06
169	-1.10263e+06
188	-1.02466e+06
209	-1.02149e+06
233	-1.11991e+06
260	-1.15505e+06
300	-1.14395e+06
